778,82,977
230,460,926
857,663,663
316,341,396
353,534,763
964,178,931
177,853,864
625,785,845
16,647,107
941,895,761
125,362,878
958,969,101
555,816,682
516,557,185
110,887,282
835,159,795
70,139,657
444,57,970
609,370,988
965,14,561
307,248,367
114,700,871
583,610,927
727,722,645
676,305,182
817,704,502
948,229,978
637,642,591
192,940,212
197,121,777
19,631,720
92,292,830
662,182,944
296,197,107
246,895,171
677,59,362
521,104,138
605,522,538
741,625,199
678,44,629
695,409,247
370,312,503
271,314,521
218,447,525
275,79,509
882,705,313
235,249,666
290,328,676
961,962,288
405,798,778
226,271,892
120,964,657
946,679,23
59,508,193
452,494,866
620,416,216
913,850,153
416,345,47
123,872,232
73,419,773
407,669,844
973,617,690
120,889,617
924,567,899
258,662,904
306,220,987
679,118,520
256,988,715
814,20,461
192,332,803
310,381,813
564,985,661
632,91,338
794,370,261
626,1000,684
412,833,808
420,358,120
461,650,989
746,325,632
730,933,854
715,571,331
467,69,966
818,775,600
427,820,887
715,268,849
349,262,335
845,452,397
37,383,73
642,311,669
765,757,507
254,397,750
324,798,355
36,373,809
686,685,192
615,618,319
43,655,463
700,359,980
577,84,166
924,630,723
165,627,29
845,220,891
